name,address,latitude,longitude,date,start_time,end_time,hours,rating,website,types,price,featured,sold_out
"Festival Embassa't","Amfiteatre del Parc Catalunya, Carrer Prat de la Riba, 114, 08206 Sabadell, Barcelona, Spain","41.55033969999999","2.0925422","","","","Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 7:00 – 11:30 PM | Friday: 5:00 PM – 3:30 AM | Saturday: 5:00 PM – 3:30 AM | Sunday: 5:00 – 11:30 PM","4.9","https://www.embassat.com/","establishment, point_of_interest","","false","false"
"Vida • Festival Internacional de Vilanova i la Geltrú","Camí Ral, 08800 Vilanova i la Geltrú, Barcelona, Spain","41.241154","1.715764","","","","","4.6","http://www.vidafestival.com/","establishment, point_of_interest","","false","false"
"Sant Jordi Club","Passeig Olímpic, 5-7, Sants-Montjuïc, 08038 Barcelona, Spain","41.3624371","2.1523192","","","","Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM","4.5","https://palausantjordi.barcelona/es/sant-jordi-club","establishment, point_of_interest","","false","false"
"Ombra Festival SL","Carrer de la Marina, 25, Local 6, Sant Martí, 08005 Barcelona, Spain","41.3881248","2.1951871","","","","Monday: Closed | Tuesday: 11:00 AM – 5:00 PM | Wednesday: 11:00 AM – 5:00 PM | Thursday: 11:00 AM – 5:00 PM | Friday: 11:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed","4","https://ombrafestival.com/","establishment, point_of_interest","","false","false"
"L'Auditori","Carrer de Lepant, 150, Eixample, 08013 Barcelona, Spain","41.3986326","2.1852999","","","","Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: Closed | Sunday: Closed","4.6","http://www.auditori.cat/","establishment, point_of_interest, tourist_attraction","","false","false"
"Fira de Barcelona","Av. Joan Carles I, 64, 08908 Barcelona, Spain","41.3546937","2.1278252","","","","Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: Closed | Sunday: Closed","4.4","https://www.firabarcelona.com/?utm_source=google_gmb&utm_medium=organic&utm_campaign=fichassalones&utm_term&utm_content=ficha_granvia","establishment, point_of_interest","","false","false"
"All Those Food Market","Moll de Bosch i Alsina, 1, 08039 Barcelona, Spain","41.37681080000001","2.1801244","","","","","2.8","http://www.allthose.org/","establishment, food, point_of_interest, restaurant","","false","false"
"Plaça de Catalunya","Plaça de Catalunya, Eixample, 08002 Barcelona, Spain","41.3870154","2.1700471","","","","","4.5","https://www.meet.barcelona/ca/visita-la-i-estima-la/punts-dinteres-de-la-ciutat/la-placa-de-catalunya-99400356287","establishment, point_of_interest, tourist_attraction","","false","false"
"Canet Rock","Via Cannetum, 08360 Canet de Mar, Barcelona, Spain","41.59387479999999","2.5684156","","","","","4.6","https://www.canetrock.cat/","establishment, point_of_interest","","false","false"
"Festival Mixtur","Carrer de Sant Adrià, 20, Sant Andreu, 08030 Barcelona, Spain","41.432949","2.1905158","","","","","","http://www.mixturbcn.com/","establishment, point_of_interest","","false","false"
